Executing Case 1: Running Model Training with all context and all criteria
ONN - RMSE: 1.0387, MAE: 0.7810, Time: 24.73s, CPU: -0.10%, Memory: 17.90MB
PNN - RMSE: 0.8412, MAE: 0.6241, Time: 9.00s, CPU: 0.00%, Memory: 4.52MB
WDL - RMSE: 0.8043, MAE: 0.6220, Time: 13.32s, CPU: 0.00%, Memory: 0.00MB
xDeepFM - RMSE: 0.8127, MAE: 0.6322, Time: 13.09s, CPU: 0.00%, Memory: 36.34MB
IFM - RMSE: 1.1197, MAE: 0.8898, Time: 11.52s, CPU: 0.20%, Memory: 5.14MB
MLR - RMSE: 0.8587, MAE: 0.6808, Time: 19.44s, CPU: 0.00%, Memory: 10.94MB
MultiHeadAttentionModel - RMSE: 0.7988, MAE: 0.5776, Time: 16.03s, CPU: -0.20%, Memory: 18.46MB
==============================================================================================

Executing Case 7: Running Prediction with all criteria, with single context: Lockdown
AFM - RMSE: 0.9765, MAE: 0.8111, Time: 30.40s, CPU: 0.00%, Memory: 2170.40MB
AutoInt - RMSE: 0.8036, MAE: 0.6205, Time: 14.30s, CPU: -0.10%, Memory: 1.16MB
CCPM - RMSE: 1.0761, MAE: 0.8529, Time: 22.32s, CPU: 0.00%, Memory: 614.43MB
DCN - RMSE: 0.7924, MAE: 0.6095, Time: 18.94s, CPU: -0.10%, Memory: 11.86MB
DeepFM - RMSE: 0.8076, MAE: 0.6251, Time: 15.85s, CPU: 0.00%, Memory: 4.26MB
DIFM - RMSE: 1.2084, MAE: 0.9507, Time: 19.88s, CPU: 0.00%, Memory: 14.84MB
FiBiNET - RMSE: 0.8677, MAE: 0.6496, Time: 26.12s, CPU: -0.10%, Memory: 13.08MB
NFM - RMSE: 0.8213, MAE: 0.6363, Time: 16.00s, CPU: 0.10%, Memory: 3.45MB
ONN - RMSE: 1.0866, MAE: 0.8085, Time: 32.52s, CPU: -0.10%, Memory: 21.66MB
PNN - RMSE: 0.8057, MAE: 0.6105, Time: 13.62s, CPU: -0.20%, Memory: 15.99MB
WDL - RMSE: 0.8059, MAE: 0.6235, Time: 15.67s, CPU: 0.00%, Memory: 2.11MB
xDeepFM - RMSE: 0.8073, MAE: 0.6247, Time: 21.63s, CPU: 0.00%, Memory: 43.10MB
IFM - RMSE: 1.1170, MAE: 0.8836, Time: 16.06s, CPU: 0.00%, Memory: 15.54MB
MLR - RMSE: 0.8596, MAE: 0.6820, Time: 26.11s, CPU: -0.10%, Memory: 8.93MB
MultiHeadAttentionModel - RMSE: 0.7978, MAE: 0.5876, Time: 21.01s, CPU: 0.30%, Memory: 1.23MB
==============================================================================================

Executing Case 8: Running Prediction with single criteria: GroupApp, with single context: class
AFM - RMSE: 1.0434, MAE: 0.8757, Time: 28.25s, CPU: -0.10%, Memory: 2184.12MB
AutoInt - RMSE: 0.8261, MAE: 0.6444, Time: 15.38s, CPU: 0.20%, Memory: 0.68MB
